WAIN wain
LPAREN (
INT int
ID a
COMMA ,
INT int
ID b
RPAREN )
LBRACE {
INT int
ID xxx
SEMI ;
INT int
ID yyy
SEMI ;
IF if
LPAREN (
ID x
EQ ==
ID y
RPAREN )
LBRACE {
ID a
BECOMES =
ID b
SEMI ;
RBRACE }
ELSE else
LBRACE {
ID c
BECOMES =
ID d
SEMI ;
RBRACE }
WHILE while
LPAREN (
ID a
PLUS +
ID b
LE <=
ID c
STAR *
ID d
RPAREN )
LBRACE {
RBRACE }
ID a
BECOMES =
ID b
PLUS +
NUM 1
STAR *
LPAREN (
ID c
PCT %
ID d
MINUS -
ID e
SLASH /
ID x
RPAREN )
SEMI ;
ID c
BECOMES =
NUM 132
SEMI ;
RETURN return
ID a
PLUS +
ID b
SEMI ;
RBRACE }
